"ticker","company_name","asof_date","est_window_start","n_obs","spot_price","log_return_mean","log_return_std","vol_annual_realized","vol_annual_downside","vol_annual_20d","skewness","kurtosis","max_drawdown","return_annual","avg_daily_volume_20d","normality_n","normality_pvalue","normality_log10_pvalue","outlier_fraction","gbm_mu_annual","gbm_sigma_annual","gbm_mu_se","gbm_sigma_se","gbm_mu_ci95_low","gbm_mu_ci95_high","gbm_sigma_ci95_low","gbm_sigma_ci95_high","dividend_yield","carry_r_minus_q","lattice_u","lattice_d","lattice_p_real","lattice_p_rn","lattice_implied_sigma","sim_alpha_annual","sim_beta","sim_alpha_se","sim_beta_se","sim_alpha_ci95_low","sim_alpha_ci95_high","sim_beta_ci95_low","sim_beta_ci95_high","sim_r_squared","sim_resid_std","model_fit_notes","tags","snapshot_date"
"MSFT","Microsoft","2026-02-26","2025-03-11",242,401.72,0.0002248,0.01669512,0.265027,0.187657,0.479145,-0.1023,14.289,0.290737,0.058072,46815610,242,0,-13.0624,0.016529,0.056648,0.265027,0.270447,0.012047,-0.476094,0.589391,0.241297,0.288757,0.007,0.036,1.01038762,0.98892027,0.53305785,0.52406946,0.265027,-0.13843652,0.871154,0.00084327,0.070541,-0.55704879,0.28017574,0.732194,1.010113,0.388552,0.01308194,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=38.86%","non_normal;heavy_tails","2026-02-26"
"NVDA","NVIDIA","2026-02-26","2025-03-11",242,184.89,0.00219263,0.02628142,0.417205,0.267171,0.435615,0.783,9.9424,0.224871,0.734278,189253120,242,0,-8.5132,0.008264,0.552544,0.417205,0.425737,0.018964,-0.286098,1.391185,0.379849,0.454561,3e-04,0.0427,1.01995871,0.98265985,0.53305785,0.46947277,0.417205,0.17724841,1.675885,0.00109985,0.092005,-0.36873186,0.72322868,1.494645,1.857124,0.580269,0.01706228,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.03%","high_beta;non_normal;high_vol;heavy_tails","2026-02-26"
"TSLA","Tesla","2026-02-26","2025-03-11",242,408.58,0.00236401,0.03662511,0.581406,0.381787,0.356439,0.3551,7.4344,0.230027,0.810539,61545485,242,1e-06,-6.121,0.016529,0.59573,0.581406,0.593296,0.026428,-0.572979,1.764439,0.529347,0.633464,0,0.043,1.02805028,0.974488,0.53305785,0.47949133,0.581406,0.135379,2.055701,0.0017552,0.146826,-0.73592784,1.00668584,1.766468,2.344933,0.449574,0.02722898,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.96%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-26"
"AAPL","Apple","2026-02-27","2025-03-11",243,264.18,0.00073742,0.02014356,0.319769,0.214327,0.341072,0.7545,15.2335,0.22989,0.203713,54068220,243,0,-13.7505,0.012346,0.185829,0.319769,0.325637,0.014505,-0.455616,0.827274,0.291197,0.348341,0.004,0.039,1.01261783,0.98750752,0.53497942,0.5043,0.319769,-0.09246454,1.276428,0.00085019,0.071243,-0.51450274,0.32957367,1.136089,1.416766,0.571175,0.0132183,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=57.12%","non_normal;heavy_tails","2026-02-27"
"AMZN","Amazon","2026-02-27","2025-03-11",243,210,0.00027155,0.02207513,0.350432,0.242951,0.338662,0.2456,8.3951,0.217362,0.070662,65492835,243,0,-9.1634,0.020576,0.068431,0.350432,0.356862,0.015896,-0.634521,0.771384,0.31912,0.381744,0,0.043,1.0148471,0.98402638,0.53497942,0.52381218,0.350432,-0.21968701,1.32149,0.0009962,0.083478,-0.71420309,0.27482907,1.15705,1.485929,0.509766,0.01548831,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=50.98%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-27"
"GOOGL","Google","2026-02-27","2025-03-11",243,311.76,0.00264248,0.01927702,0.306013,0.184906,0.248064,0.4756,6.5486,0.151618,0.943337,42003395,243,1e-06,-5.9542,0.016461,0.665906,0.306013,0.311629,0.013881,0.052055,1.279757,0.27867,0.333356,0.004,0.039,1.01565272,0.98733084,0.5473251,0.45335315,0.306013,0.45222075,0.980093,0.00098796,0.082788,-0.03820571,0.94264721,0.817013,1.143173,0.367709,0.01536023,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=36.77%","non_normal;heavy_tails","2026-02-27"
"META","Meta","2026-02-27","2025-03-11",243,648.18,0.00027888,0.02464043,0.391155,0.258811,0.271437,0.6127,11.1583,0.25424,0.072636,13945700,243,0,-12.3172,0.024691,0.070277,0.391155,0.398332,0.017743,-0.714364,0.854918,0.356204,0.426105,0.003,0.04,1.01699324,0.98457306,0.49382716,0.48110737,0.391155,-0.23722391,1.410391,0.00116048,0.097245,-0.81329278,0.33884495,1.218833,1.601949,0.466049,0.01804256,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=46.60%","high_beta;non_normal;heavy_tails","2026-02-27"
"MSFT","Microsoft","2026-02-27","2025-03-11",243,392.74,0.00013084,0.01672485,0.265499,0.18868,0.323573,-0.0951,14.1412,0.290737,0.033443,42941205,243,0,-12.9752,0.016461,0.032971,0.265499,0.270371,0.012043,-0.49961,0.565551,0.241776,0.289222,0.007,0.036,1.01038762,0.98882137,0.5308642,0.52625193,0.265499,-0.15760557,0.874101,0.00084291,0.070633,-0.57603083,0.26081968,0.734964,1.013238,0.388551,0.01310514,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=38.86%","non_normal;heavy_tails","2026-02-27"
"NVDA","NVIDIA","2026-02-27","2025-03-11",243,177.19,0.00200856,0.02638357,0.418826,0.270116,0.457898,0.7715,9.8042,0.224871,0.657013,196246725,243,0,-8.4068,0.00823,0.506156,0.418826,0.426512,0.018998,-0.333993,1.346305,0.381403,0.456249,3e-04,0.0427,1.01995871,0.98244664,0.5308642,0.4724882,0.418826,0.13950567,1.681687,0.00110476,0.092575,-0.40890151,0.68791285,1.499327,1.864047,0.577926,0.01717619,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=57.79%","high_beta;non_normal;high_vol;heavy_tails","2026-02-27"
"TSLA","Tesla","2026-02-27","2025-03-11",243,402.51,0.00229268,0.03656627,0.580471,0.381305,0.33886,0.3608,7.4546,0.230027,0.779719,60305685,243,1e-06,-6.1609,0.016461,0.577756,0.580471,0.591123,0.026331,-0.586647,1.74216,0.528605,0.632338,0,0.043,1.02805028,0.97458147,0.5308642,0.4785814,0.580471,0.12935971,2.056626,0.00174786,0.146465,-0.73828701,0.99700642,1.768111,2.345141,0.449986,0.02717482,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=45.00%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-27"
