"ticker","company_name","asof_date","est_window_start","n_obs","spot_price","log_return_mean","log_return_std","vol_annual_realized","vol_annual_downside","vol_annual_20d","skewness","kurtosis","max_drawdown","return_annual","avg_daily_volume_20d","normality_n","normality_pvalue","normality_log10_pvalue","outlier_fraction","gbm_mu_annual","gbm_sigma_annual","gbm_mu_se","gbm_sigma_se","gbm_mu_ci95_low","gbm_mu_ci95_high","gbm_sigma_ci95_low","gbm_sigma_ci95_high","dividend_yield","carry_r_minus_q","lattice_u","lattice_d","lattice_p_real","lattice_p_rn","lattice_implied_sigma","sim_alpha_annual","sim_beta","sim_alpha_se","sim_beta_se","sim_alpha_ci95_low","sim_alpha_ci95_high","sim_beta_ci95_low","sim_beta_ci95_high","sim_r_squared","sim_resid_std","model_fit_notes","tags","snapshot_date"
"TSLA","Tesla","2026-02-04","2025-03-11",227,406.01,0.00249242,0.03749271,0.595178,0.390262,0.370461,0.3458,7.2035,0.230027,0.870518,61133925,227,2e-06,-5.6455,0.013216,0.62809,0.595178,0.627097,0.027933,-0.607614,1.863795,0.540136,0.650221,0,0.043,1.02936996,0.97436601,0.52422907,0.46914154,0.595178,0.14601276,2.062662,0.00186296,0.15348,-0.7790991,1.07112462,1.760219,2.365104,0.445285,0.02798625,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.53%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-04"
"AAPL","Apple","2026-02-05","2025-03-11",228,275.91,0.00097647,0.02008623,0.318859,0.209396,0.248766,0.8596,16.1084,0.22989,0.278482,56885065,228,0,-13.8942,0.013158,0.246072,0.318859,0.335221,0.014932,-0.414472,0.906615,0.289436,0.348282,0.004,0.039,1.01262902,0.98800125,0.53508772,0.49413332,0.318859,-0.03188007,1.270344,0.00085682,0.070578,-0.45734939,0.39358924,1.131269,1.409419,0.589069,0.01290451,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.91%","non_normal;heavy_tails","2026-02-05"
"AMZN","Amazon","2026-02-05","2025-03-11",228,222.69,0.00054676,0.02216413,0.351845,0.239974,0.300529,0.2989,8.5688,0.186622,0.14747,44552810,228,0,-9.0505,0.02193,0.137783,0.351845,0.3699,0.016477,-0.591093,0.866658,0.319378,0.384311,0,0.043,1.01494456,0.98421375,0.53947368,0.51924753,0.351845,-0.15962895,1.359282,0.00098507,0.081142,-0.64878581,0.32952792,1.199389,1.519174,0.553908,0.01483616,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=55.39%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-05"
"GOOGL","Google","2026-02-05","2025-03-11",228,331.25,0.00308229,0.01938751,0.307767,0.184076,0.194042,0.4411,6.6714,0.151618,1.171637,36020095,228,1e-06,-5.9586,0.013158,0.776738,0.307767,0.32356,0.014413,0.139173,1.414304,0.279368,0.336167,0.004,0.039,1.01572044,0.98734556,0.56140351,0.45198743,0.307767,0.55727729,1.003019,0.00100415,0.082714,0.05864608,1.05590849,0.840029,1.166008,0.39418,0.01512351,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.42%","non_normal;heavy_tails","2026-02-05"
"META","Meta","2026-02-05","2025-03-11",228,670.21,0.00044381,0.0251132,0.39866,0.26232,0.49538,0.6055,10.9822,0.25424,0.118133,18846490,228,0,-11.935,0.026316,0.111841,0.39866,0.419117,0.018669,-0.714016,0.937698,0.361873,0.435446,0.003,0.04,1.01733727,0.98447061,0.49561404,0.4776889,0.39866,-0.19913559,1.421281,0.00121463,0.100051,-0.80228269,0.40401151,1.224128,1.618434,0.471711,0.01829349,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=47.17%","high_beta;non_normal;heavy_tails","2026-02-05"
"MSFT","Microsoft","2026-02-05","2025-03-11",228,393.67,0.00014982,0.01667403,0.264692,0.188339,0.465102,-0.1079,15.0635,0.273765,0.038412,39979220,228,0,-13.2872,0.017544,0.037754,0.264692,0.278275,0.012395,-0.510578,0.586086,0.240267,0.289117,0.007,0.036,1.01007043,0.98882904,0.53947368,0.53393891,0.264692,-0.15020142,0.859026,0.00086595,0.07133,-0.58020753,0.2798047,0.718468,0.999584,0.390888,0.01304211,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.09%","non_normal;heavy_tails","2026-02-05"
"NVDA","NVIDIA","2026-02-05","2025-03-11",228,171.88,0.00200725,0.02617177,0.415464,0.267136,0.313815,0.8149,10.3639,0.224871,0.656999,170659665,228,0,-8.4545,0.008772,0.505827,0.415464,0.436783,0.019456,-0.354842,1.366495,0.377127,0.453801,3e-04,0.0427,1.01995597,0.98279537,0.52631579,0.46757273,0.415464,0.14368443,1.655127,0.0011165,0.091968,-0.41073474,0.69810359,1.473902,1.836352,0.589002,0.01681557,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.90%","high_beta;non_normal;high_vol;heavy_tails","2026-02-05"
"TSLA","Tesla","2026-02-05","2025-03-11",228,397.21,0.00238538,0.03744494,0.59442,0.390086,0.37637,0.3529,7.2133,0.230027,0.82238,61783475,228,2e-06,-5.6637,0.013158,0.601116,0.59442,0.624923,0.027836,-0.630275,1.832507,0.539569,0.64927,0,0.043,1.02936996,0.97440234,0.52192982,0.46879071,0.59442,0.15010687,2.061283,0.00185414,0.15273,-0.7706032,1.07081695,1.760327,2.362239,0.446282,0.02792519,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.63%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-05"
"AAPL","Apple","2026-02-06","2025-03-11",229,278.12,0.00100705,0.02004747,0.318244,0.208939,0.247573,0.8564,16.1573,0.22989,0.288798,56886770,229,0,-13.9441,0.0131,0.253776,0.318244,0.333843,0.014871,-0.404036,0.911589,0.288942,0.347545,0.004,0.039,1.01259146,0.98800125,0.5371179,0.49488797,0.318244,-0.04747891,1.261767,0.00085633,0.070316,-0.47269689,0.37773906,1.123212,1.400322,0.586521,0.01291936,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.65%","non_normal;heavy_tails","2026-02-06"
"AMZN","Amazon","2026-02-06","2025-03-11",229,210.32,0.0002948,0.02244173,0.356251,0.246841,0.341332,0.246,8.3181,0.186622,0.077099,51537865,229,0,-8.9137,0.021834,0.07429,0.356251,0.373714,0.016647,-0.662084,0.810665,0.323451,0.389052,0,0.043,1.01494456,0.98383864,0.5371179,0.525045,0.356251,-0.23973149,1.315238,0.00104507,0.085814,-0.75867207,0.2792091,1.146145,1.484332,0.508558,0.01576692,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=50.86%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-06"
"GOOGL","Google","2026-02-06","2025-03-11",229,322.86,0.00295681,0.01943793,0.308568,0.185635,0.212975,0.4409,6.6056,0.151618,1.106276,37244315,229,1e-06,-5.857,0.0131,0.745115,0.308568,0.323693,0.014418,0.107303,1.382927,0.280157,0.336978,0.004,0.039,1.01572044,0.98722008,0.55895197,0.45440027,0.308568,0.51163014,0.97792,0.00102101,0.083838,0.00464007,1.01862021,0.81272,1.143119,0.374758,0.01540383,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=37.48%","non_normal;heavy_tails","2026-02-06"
"META","Meta","2026-02-06","2025-03-11",229,661.46,0.00038449,0.02507415,0.39804,0.26211,0.497807,0.6121,11.0087,0.25424,0.101713,19158370,229,0,-11.982,0.026201,0.096891,0.39804,0.41755,0.018599,-0.72586,0.919643,0.361391,0.434688,0.003,0.04,1.01733727,0.98449194,0.49344978,0.47734978,0.39804,-0.23742261,1.400229,0.00122203,0.100344,-0.84422952,0.36938429,1.202505,1.597954,0.461732,0.01843655,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=46.17%","high_beta;non_normal;heavy_tails","2026-02-06"
"MSFT","Microsoft","2026-02-06","2025-03-11",229,401.14,0.00023125,0.01668299,0.264834,0.187928,0.476366,-0.1158,14.9744,0.273765,0.05999,41746855,229,0,-13.2328,0.017467,0.058274,0.264834,0.277816,0.012375,-0.48914,0.605689,0.240451,0.289218,0.007,0.036,1.01014225,0.98882904,0.54148472,0.53213984,0.264834,-0.1472157,0.860668,0.00086267,0.070836,-0.57557919,0.28114778,0.721088,1.000247,0.394065,0.01301492,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.41%","non_normal;heavy_tails","2026-02-06"
"NVDA","NVIDIA","2026-02-06","2025-03-11",229,185.41,0.00232937,0.02656537,0.421712,0.266552,0.417615,0.833,9.9389,0.224871,0.798313,173604125,229,0,-8.2132,0.008734,0.587002,0.421712,0.442383,0.019705,-0.284681,1.458684,0.382884,0.46054,3e-04,0.0427,1.0204416,0.98279537,0.52838428,0.46154107,0.421712,0.18624199,1.678527,0.00112843,0.092658,-0.37408762,0.7465716,1.495947,1.861107,0.591111,0.01702444,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=59.11%","high_beta;non_normal;high_vol;heavy_tails","2026-02-06"
"TSLA","Tesla","2026-02-06","2025-03-11",229,411.11,0.00252517,0.03742256,0.594065,0.389234,0.397812,0.3436,7.1962,0.230027,0.889243,62065275,229,2e-06,-5.667,0.0131,0.636342,0.594065,0.623184,0.027759,-0.591595,1.864278,0.539368,0.648761,0,0.043,1.02941683,0.97440234,0.52401747,0.46839134,0.594065,0.1448826,2.05841,0.00184703,0.151664,-0.77227356,1.06203875,1.759561,2.35726,0.447962,0.02786586,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.80%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-06"
"AAPL","Apple","2026-02-09","2025-03-11",230,274.62,0.00094761,0.02002395,0.31787,0.208905,0.254132,0.8632,16.1739,0.22989,0.26824,57118090,230,0,-13.9469,0.013043,0.238797,0.31787,0.332726,0.014821,-0.416798,0.894393,0.288668,0.347073,0.004,0.039,1.01259146,0.98799577,0.53478261,0.49500039,0.31787,-0.06728493,1.259655,0.00085654,0.070462,-0.49259529,0.35802542,1.120815,1.398495,0.583631,0.01294909,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.36%","non_normal;heavy_tails","2026-02-09"
"AMZN","Amazon","2026-02-09","2025-03-11",230,208.72,0.00026032,0.02239878,0.35557,0.246433,0.338234,0.2507,8.3472,0.186622,0.067458,54368785,230,0,-8.9648,0.021739,0.0656,0.35557,0.372187,0.016579,-0.667748,0.798949,0.322904,0.388236,0,0.043,1.01494456,0.98391858,0.53478261,0.52382121,0.35557,-0.25362785,1.313756,0.00104219,0.085734,-0.77112327,0.26386757,1.144824,1.482689,0.507359,0.01575577,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=50.74%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-09"
"GOOGL","Google","2026-02-09","2025-03-11",230,324.32,0.00296357,0.01939572,0.307897,0.185231,0.210578,0.4408,6.6337,0.151618,1.10259,37915610,230,1e-06,-5.9176,0.017391,0.746819,0.307897,0.322287,0.014356,0.111792,1.381845,0.279611,0.336184,0.004,0.039,1.01563363,0.98722008,0.56086957,0.45578854,0.307897,0.50925676,0.977667,0.00101672,0.083639,0.00440865,1.01410487,0.812863,1.142471,0.374718,0.01537071,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=37.47%","non_normal;heavy_tails","2026-02-09"
"META","Meta","2026-02-09","2025-03-11",230,677.22,0.00048519,0.02506591,0.397909,0.261539,0.503108,0.6015,10.9686,0.25424,0.129383,19318500,230,0,-11.9428,0.026087,0.122269,0.397909,0.416505,0.018553,-0.698403,0.942941,0.361353,0.434465,0.003,0.04,1.01739419,0.98449194,0.49565217,0.47652399,0.397909,-0.21846234,1.402251,0.00121931,0.100305,-0.82390492,0.38698024,1.204608,1.599894,0.461551,0.01843343,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=46.16%","high_beta;non_normal;heavy_tails","2026-02-09"
"MSFT","Microsoft","2026-02-09","2025-03-11",230,413.6,0.00036324,0.01676645,0.266159,0.187519,0.49526,-0.1113,14.6645,0.273765,0.095366,43096330,230,0,-13.0408,0.017391,0.091536,0.266159,0.278598,0.01241,-0.457407,0.640479,0.241707,0.290611,0.007,0.036,1.0103096,0.98882904,0.54347826,0.52799398,0.266159,-0.11834494,0.863746,0.00086709,0.07133,-0.54889414,0.31220427,0.723196,1.004296,0.391404,0.01310859,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.14%","non_normal;heavy_tails","2026-02-09"
"NVDA","NVIDIA","2026-02-09","2025-03-11",230,190.04,0.00242648,0.02654818,0.421439,0.265972,0.426562,0.8227,9.9114,0.224871,0.837647,176857120,230,0,-8.2007,0.008696,0.611474,0.421439,0.441135,0.01965,-0.257729,1.480676,0.382722,0.460157,3e-04,0.0427,1.02047873,0.98279537,0.53043478,0.46108629,0.421439,0.20317146,1.680332,0.00112577,0.09261,-0.35582474,0.76216767,1.497852,1.862813,0.59082,0.01701932,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=59.08%","high_beta;non_normal;high_vol;heavy_tails","2026-02-09"
"TSLA","Tesla","2026-02-09","2025-03-11",230,417.32,0.00257937,0.03734981,0.59291,0.388387,0.393641,0.3399,7.2189,0.230027,0.90947,61422915,230,2e-06,-5.7045,0.013043,0.650002,0.59291,0.620619,0.027645,-0.572852,1.872855,0.53844,0.64738,0,0.043,1.02929856,0.97440234,0.52608696,0.4694005,0.59291,0.14970589,2.058924,0.00183929,0.151307,-0.76358632,1.0629981,1.760786,2.357062,0.448166,0.02780629,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.82%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-09"
"AAPL","Apple","2026-02-10","2025-03-11",231,273.68,0.00092866,0.01998245,0.317212,0.208483,0.255093,0.8676,16.2414,0.22989,0.262629,56573745,231,0,-14.0165,0.012987,0.234023,0.317212,0.331317,0.014758,-0.418781,0.886827,0.288133,0.34629,0.004,0.039,1.01259146,0.98807523,0.53246753,0.4933637,0.317212,-0.06710137,1.259638,0.00085274,0.070294,-0.49051514,0.3563124,1.121131,1.398144,0.583717,0.01292079,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.37%","non_normal;heavy_tails","2026-02-10"
"AMZN","Amazon","2026-02-10","2025-03-11",231,206.96,0.00022253,0.02235741,0.354913,0.246058,0.337757,0.2558,8.3746,0.186622,0.057471,55934145,231,0,-9.0127,0.021645,0.056078,0.354913,0.370694,0.016512,-0.674313,0.786469,0.322379,0.387447,0,0.043,1.01494456,0.98398941,0.53246753,0.52273172,0.354913,-0.25808473,1.314181,0.00103771,0.085543,-0.7733445,0.25717503,1.14563,1.482732,0.507547,0.01572354,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=50.75%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-10"
"GOOGL","Google","2026-02-10","2025-03-11",231,318.58,0.00287343,0.01940193,0.307996,0.185768,0.215086,0.447,6.6105,0.151618,1.057612,38177915,231,1e-06,-5.8871,0.017316,0.724105,0.307996,0.321691,0.014329,0.090267,1.357944,0.279763,0.336229,0.004,0.039,1.01563363,0.98717185,0.55844156,0.4567106,0.307996,0.48994873,0.979504,0.001015,0.08367,-0.01403509,0.99393255,0.814642,1.144367,0.374396,0.01537945,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=37.44%","non_normal;heavy_tails","2026-02-10"
"META","Meta","2026-02-10","2025-03-11",231,670.72,0.00044134,0.02502024,0.397184,0.261167,0.500063,0.6071,11.0055,0.25424,0.1172,19101430,231,0,-12.0029,0.025974,0.111219,0.397184,0.414845,0.018479,-0.706164,0.928601,0.360775,0.433593,0.003,0.04,1.01739419,0.98454245,0.49350649,0.4757191,0.397184,-0.2241273,1.40279,0.0012141,0.100083,-0.82696951,0.37871491,1.205589,1.599991,0.461755,0.01839618,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=46.18%","high_beta;non_normal;heavy_tails","2026-02-10"
"MSFT","Microsoft","2026-02-10","2025-03-11",231,413.27,0.00035821,0.01673013,0.265583,0.187114,0.495711,-0.1106,14.7281,0.273765,0.094119,44163230,231,0,-13.1113,0.017316,0.090269,0.265583,0.277392,0.012356,-0.456286,0.636823,0.241237,0.289928,0.007,0.036,1.0103096,0.9889269,0.54112554,0.52583382,0.265583,-0.1161657,0.863539,0.00086328,0.071164,-0.54481555,0.31248415,0.723319,1.003758,0.391357,0.01308057,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.14%","non_normal;heavy_tails","2026-02-10"
"NVDA","NVIDIA","2026-02-10","2025-03-11",231,188.54,0.00238167,0.02649916,0.420661,0.265525,0.427838,0.8285,9.9474,0.224871,0.818588,176796935,231,0,-8.248,0.008658,0.600182,0.420661,0.439366,0.019571,-0.265516,1.465879,0.3821,0.459222,3e-04,0.0427,1.02047873,0.98288079,0.52813853,0.45986181,0.420661,0.19837854,1.680788,0.00112093,0.092403,-0.35820204,0.75495911,1.498721,1.862856,0.590977,0.01698447,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=59.10%","high_beta;non_normal;high_vol;heavy_tails","2026-02-10"
"TSLA","Tesla","2026-02-10","2025-03-11",231,425.21,0.00264929,0.03728367,0.59186,0.387545,0.399184,0.335,7.2364,0.230027,0.944998,61562945,231,2e-06,-5.7363,0.012987,0.66762,0.59186,0.618178,0.027536,-0.550395,1.885635,0.537605,0.646115,0,0.043,1.02921337,0.97440234,0.52813853,0.47013,0.59186,0.17602,2.05642,0.001834,0.151184,-0.73462432,1.08666431,1.758532,2.354309,0.446884,0.027789,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.69%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-10"
"AAPL","Apple","2026-02-11","2025-03-11",232,275.5,0.00095323,0.01994266,0.31658,0.208033,0.255508,0.8655,16.2966,0.22989,0.270852,56883770,232,0,-14.0767,0.012931,0.240214,0.31658,0.329944,0.014697,-0.40987,0.890297,0.287623,0.345537,0.004,0.039,1.01254355,0.98807523,0.53448276,0.49432981,0.31658,-0.05923695,1.259388,0.0008496,0.070187,-0.48108301,0.3626091,1.121096,1.39768,0.583304,0.01290134,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.33%","non_normal;heavy_tails","2026-02-11"
"AMZN","Amazon","2026-02-11","2025-03-11",232,204.08,0.00016117,0.02232854,0.354455,0.245961,0.337313,0.2628,8.3853,0.196535,0.041359,57292830,232,0,-9.0319,0.021552,0.040615,0.354455,0.369417,0.016455,-0.687242,0.768472,0.322033,0.386876,0,0.043,1.01494456,0.98400863,0.53017241,0.52243522,0.354455,-0.27196874,1.314622,0.00103466,0.085475,-0.78570133,0.24176385,1.146207,1.483036,0.507018,0.01571151,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=50.70%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-11"
"GOOGL","Google","2026-02-11","2025-03-11",232,310.96,0.0027567,0.01944137,0.308622,0.187077,0.221729,0.4487,6.5555,0.151618,1.000039,38772355,232,2e-06,-5.8119,0.017241,0.694688,0.308622,0.32165,0.014327,0.060946,1.32843,0.280393,0.336851,0.004,0.039,1.01563363,0.98706418,0.55603448,0.45875818,0.308622,0.46157216,0.980406,0.00101681,0.084001,-0.04329901,0.96644333,0.814896,1.145915,0.371964,0.0154405,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=37.20%","non_normal;heavy_tails","2026-02-11"
"META","Meta","2026-02-11","2025-03-11",232,668.69,0.00042638,0.02496706,0.39634,0.260623,0.49534,0.6101,11.0532,0.25424,0.11317,18916100,232,0,-12.0751,0.025862,0.107447,0.39634,0.41307,0.0184,-0.70642,0.921314,0.360087,0.432592,0.003,0.04,1.01739419,0.9846478,0.49137931,0.47403245,0.39634,-0.22611648,1.402853,0.00120884,0.099865,-0.82633597,0.37410301,1.206086,1.599621,0.461777,0.01835654,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=46.18%","high_beta;non_normal;heavy_tails","2026-02-11"
"MSFT","Microsoft","2026-02-11","2025-03-11",232,404.37,0.00026283,0.01675698,0.266009,0.188084,0.497933,-0.1025,14.5814,0.273765,0.06832,44860490,232,0,-13.0245,0.017241,0.066232,0.266009,0.277238,0.012349,-0.480006,0.61247,0.241677,0.29034,0.007,0.036,1.0103096,0.98882912,0.5387931,0.52799224,0.266009,-0.13927029,0.864273,0.00086438,0.071408,-0.56845582,0.28991524,0.723575,1.004971,0.389092,0.0131258,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=38.91%","non_normal;heavy_tails","2026-02-11"
"NVDA","NVIDIA","2026-02-11","2025-03-11",232,190.05,0.00240579,0.02644429,0.41979,0.264952,0.428376,0.8274,9.984,0.224871,0.831127,176000125,232,0,-8.3079,0.008621,0.606259,0.41979,0.437511,0.019488,-0.255762,1.468281,0.381393,0.458188,3e-04,0.0427,1.02037735,0.98288079,0.53017241,0.46110515,0.41979,0.20667287,1.680525,0.00111654,0.092239,-0.34771427,0.76106001,1.498783,1.862267,0.590702,0.01695485,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=59.07%","high_beta;non_normal;high_vol;heavy_tails","2026-02-11"
"TSLA","Tesla","2026-02-11","2025-03-11",232,428.27,0.00266878,0.03720407,0.590596,0.386709,0.400679,0.3341,7.2664,0.230027,0.956307,61745085,232,2e-06,-5.7884,0.012931,0.672531,0.590596,0.615527,0.027418,-0.540233,1.885296,0.536575,0.644617,0,0.043,1.02903437,0.97440234,0.53017241,0.47167036,0.590596,0.1836239,2.056179,0.00182627,0.150872,-0.72316252,1.09041032,1.758911,2.353446,0.446769,0.02773229,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.68%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-11"
"AAPL","Apple","2026-02-12","2025-03-11",233,261.73,0.00072908,0.02019164,0.320532,0.214326,0.319086,0.7891,15.6674,0.22989,0.2015,58936660,233,0,-13.9205,0.012876,0.183728,0.320532,0.333345,0.014848,-0.473043,0.840498,0.291277,0.349787,0.004,0.039,1.01254355,0.98772608,0.53218884,0.50144388,0.320532,-0.09656801,1.274561,0.00085627,0.070639,-0.52171471,0.32857869,1.135383,1.41374,0.584953,0.01303642,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.50%","non_normal;heavy_tails","2026-02-12"
"AMZN","Amazon","2026-02-12","2025-03-11",233,199.6,6.521e-05,0.02232846,0.354453,0.246516,0.335762,0.2702,8.3582,0.214173,0.016556,59421070,233,0,-8.9816,0.021459,0.016434,0.354453,0.368622,0.01642,-0.70984,0.742709,0.322102,0.386804,0,0.043,1.01494456,0.98395444,0.527897,0.52327029,0.354453,-0.27274017,1.314935,0.00102974,0.08495,-0.78401888,0.23853854,1.14756,1.48231,0.509136,0.01567752,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=50.91%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-12"
"GOOGL","Google","2026-02-12","2025-03-11",233,309,0.00271773,0.01940854,0.308101,0.18679,0.221494,0.4546,6.5755,0.151618,0.98235,39734140,233,1e-06,-5.8623,0.017167,0.684868,0.308101,0.320417,0.014273,0.053569,1.316167,0.279981,0.336221,0.004,0.039,1.01563363,0.98712796,0.55364807,0.45754724,0.308101,0.4700165,0.976973,0.00101244,0.083522,-0.03266999,0.97270298,0.812411,1.141536,0.371982,0.01541405,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=37.20%","non_normal;heavy_tails","2026-02-12"
"META","Meta","2026-02-12","2025-03-11",233,649.81,0.00030163,0.02498587,0.396638,0.261763,0.498233,0.6143,10.9926,0.25424,0.078903,18887710,233,0,-12.0099,0.025751,0.07601,0.396638,0.412493,0.018374,-0.736702,0.888721,0.360437,0.432839,0.003,0.04,1.01739419,0.98453954,0.48927039,0.47576546,0.396638,-0.2331259,1.405702,0.00120336,0.099273,-0.83060878,0.36435697,1.210107,1.601298,0.464665,0.01832083,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=46.47%","high_beta;non_normal;heavy_tails","2026-02-12"
"MSFT","Microsoft","2026-02-12","2025-03-11",233,401.84,0.00023476,0.01672632,0.265522,0.187794,0.494016,-0.0979,14.6251,0.273765,0.060891,45491395,233,0,-13.0648,0.017167,0.05916,0.265522,0.276136,0.0123,-0.484895,0.603214,0.241288,0.289756,0.007,0.036,1.0103096,0.98887463,0.53648069,0.52699026,0.265522,-0.13008619,0.86054,0.00086091,0.071022,-0.55753832,0.29736595,0.720606,1.000473,0.388583,0.01310711,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=38.86%","non_normal;heavy_tails","2026-02-12"
"NVDA","NVIDIA","2026-02-12","2025-03-11",233,186.94,0.00232465,0.02641629,0.419346,0.264939,0.429414,0.834,9.9947,0.224871,0.795551,177517445,233,0,-8.3036,0.008584,0.585812,0.419346,0.436108,0.019426,-0.273426,1.445051,0.381072,0.457619,3e-04,0.0427,1.02037735,0.98288766,0.527897,0.46100648,0.419346,0.21717844,1.676255,0.00111187,0.091726,-0.33488096,0.76923785,1.495529,1.85698,0.591124,0.01692799,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=59.11%","high_beta;non_normal;high_vol;heavy_tails","2026-02-12"
"TSLA","Tesla","2026-02-12","2025-03-11",233,417.07,0.00254359,0.03717295,0.590102,0.386861,0.406207,0.3415,7.2656,0.230027,0.89731,61978780,233,2e-06,-5.7855,0.012876,0.640984,0.590102,0.613691,0.027336,-0.568135,1.850104,0.536244,0.643961,0,0.043,1.02903437,0.9743973,0.527897,0.47171906,0.590102,0.18930731,2.053869,0.0018177,0.149953,-0.71320216,1.09181679,1.758418,2.34932,0.448161,0.02767396,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.82%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-12"
"AAPL","Apple","2026-02-13","2025-03-11",234,255.78,0.00062769,0.02020787,0.32079,0.215194,0.328931,0.7919,15.5742,0.22989,0.171462,59781765,234,0,-13.832,0.012821,0.158178,0.32079,0.332899,0.014829,-0.4977,0.814055,0.291575,0.350005,0.004,0.039,1.01254355,0.987631,0.52991453,0.50334677,0.32079,-0.12191216,1.274677,0.00085855,0.070979,-0.5481844,0.30436008,1.134832,1.414522,0.581613,0.01309916,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.16%","non_normal;heavy_tails","2026-02-13"
